Id,Year,Type,Country,Area,Activity,Fatal,Species
76,2018,Unprovoked,BAHAMAS,The Exuma Cays,Floating,N,"Nurse shark, 5'"
77,2018,Provoked,USA,Florida,Snorkeling,N,"Injury most likely caused by barracuda, not a shark"
78,2018,Boating,USA,California,Paddling,N,White shark
79,2018,Provoked,USA,Florida,Fishing,N,Nurse shark
80,2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2 m shark
81,2018,Provoked,MEXICO,Colima,Free diving,N,"Tiger shark, 3m"
82,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,Y,Tiger shark
83,2018,Unprovoked,USA,Florida,Fishing,N,"Lemon shark, 3'"
84,2018,Unprovoked,USA,Florida,Walking,N,"Bull shark, 6'"
85,2018,Provoked,AUSTRALIA,Queensland,Feeding sharks,N,Grey reef shark
86,2018,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,N,"Tawny nurse shark, 2m"
87,2018,Provoked,USA,Texas,Fishing,N,Sandtiger shark'
88,2018,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,N,Tiger shark
89,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,3 m shark
90,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,"White shark, 3.5 m"
91,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,N,Tiger shark
92,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,N,"White shark, 2.5 m"
93,2018,Unprovoked,USA,Hawaii,Body boarding,N,6' shark
94,2018,Unprovoked,THAILAND,Hua Hin,Swimming,N,Juvenile bull shark
95,2018,Unprovoked,BAHAMAS,New Providence,Surfing,N,Tiger shark
96,2018,Unprovoked,NEW CALEDONIA,,Windsurfing,N,2 m shark
97,2018,Unprovoked,BAHAMAS,,Swimming,N,Bull shark
98,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,White shark
99,2018,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,N,"Tiger shark, 12'"
100,2018,Unprovoked,AUSTRALIA,Western Australia,Wading,N,Wobbegong shark
101,2018,Unprovoked,AUSTRALIA,Victoria,Swimming,N,3.5 m shark
102,2018,Unprovoked,AUSTRALIA,Victoria,Surfing,N,1.8 m shark
103,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,N,Blacktip shark
104,2018,Unprovoked,AUSTRALIA,New South Wales,Swimming,N,"Juvenile white shark, 2.7 to 3.2 m"
