Year,Type,Country,Area,Activity,Fatal,Species ,,
2019,Unprovoked,USA,Florida,,N,,,
2019,Questionable,USA,Florida,Boogie boarding,N,,,
2019,Questionable,USA,Hawaii,Picking opihi,N,Tiger shark,,
2019,Unprovoked,USA,Hawaii,Swimming,N,Cookiecutter shark,,
2019,Provoked,CHINA,Liaoning Province,Diving in shark tank,N,Sand tiger shark,,
3019,Watercraft,USA,Hawaii,Paddling an outrigger canoe,N,12' shark,,
2019,Unprovoked,AUSTRALIA,Queensland,Swimming,N,"Grey reef shark, 4'",,
2019,Unprovoked,USA,Florida,Surfing,N,4' shark,,
2019,Unprovoked,MEXICO,Guerrero,Swimming,N,,,
2019,Unprovoked,USA,Hawaii,Swimming,N,Cookiecutter shark,,
2019,Unprovoked,USA,Florida,Boogie boarding,N,Spinner shark,,
2019,Unprovoked,USA,Oregon,Surfing,N,,,
2019,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,N,2.5 m shark,,
2019,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2019,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,N,Lemon shark,,
2019,Unprovoked,USA,Hawaii,Surfing,N,Tiger shark,,
2019,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2019,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Fishing,N,,,
2019,Unprovoked,USA,Florida,Spearfishing,N,Bull shark,,
2019,Unprovoked,REUNION ISLAND,,Fishing,Y,,,
2019,Invalid,NEW ZEALAND,South Island,Boogie boarding,N,Reported as shark bite but injury caused by stingray,,
2019,Unprovoked,AUSTRALIA,Western Australia,Swimming,N,Wobbegong shark,,
2019,Invalid,AUSTRALIA,Queensland,Wading,N,Reported as shark attacks but injuries caused by toadfish,,
2019,Unprovoked,USA,California,Surfing,N,"White shark, 4.6m",,
2018,Unprovoked,MEXICO,Sonora,Diving,Y,Tiger shark,,
2018,Provoked,AUSTRALIA,New South Wales,,N,Wobbegong shark,,
2018,Provoked,NEW ZEALAND,North Island,Spearfishing,N,"Mako shark, 7'",,
2018,Unprovoked,NEW ZEALAND,North Island,Spearfishing,N,Bronze whaler 2.5m,,
2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2018,Unprovoked,AUSTRALIA,Northern Territory,Spearfishing,N,Reef shark x 2,,
2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
