Year,Type,Country,Area,Activity,Fatal,Species ,,
2011,Unprovoked,USA,Florida,Surfing,N,"6' shark, possibly a blactip or spinner shark",,
2011,Unprovoked,USA,Florida,Surfing,N,6' shark,,
2011,Invalid,AUSTRALIA,Queensland,Swimming,,Shark involvement prior to death not confirmed,,
2011,Unprovoked,USA,Texas,Wade Fishing,N,,,
2011,Unprovoked,RUSSIA,Primorsky Krai,"Standing, collecting sea stars",N,,,
2011,Unprovoked,USA,North Carolina,Surfing,N,,,
2011,Unprovoked,USA,North Carolina,,N,,,
2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Y,"White shark, >6'",,
2011,Unprovoked,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Swimming,N,,,
2011,Unprovoked,USA,North Carolina,Wading,N,Possibly a 5' to 6' sandtiger shark,,
2011,Invalid,USA,North Carolina,,,Shark involvement not confirmed,,
2011,Unprovoked,RUSSIA,"Telyakovsky Bay, Khasan, Primorsky Krai (Far East)",Swimming,N,4 m shark,,
2011,Unprovoked,FRENCH POLYNESIA,Society Islands,Surfing,N,Grey reef shark,,
2011,Unprovoked,USA,Puerto Rico,Floating,N,,,
2011,Unprovoked,SEYCHELLES,Praslin,Swimming or Snorkeling,Y,"Bull shark, 6'",,
2011,Invalid,USA,South Carolina,Playing in the surf,N,Shark involvement not confirmed,,
2011,Unprovoked,USA,North Carolina,Swimming,N,,,
2011,Unprovoked,SEYCHELLES,Praslin,Diving,Y,,,
2011,Invalid,BRAZIL,Pernambuco,Swimming,,Shark involvement prior to death not confirmed,,
2011,Sea Disaster,PHILIPPINES,,Sea disaster,N,,,
2011,Unprovoked,USA,New Jersey,Wade Fishing,N,,,
2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"White shark, 3m to 4m",,
2011,Unprovoked,USA,North Carolina,Boogie Boarding,N,,,
2011,Boating,REUNION,Saint-Gilles,Kayaking or Wave skiing,N,,,
2011,Unprovoked,USA,Texas,Surf fishing,N,,,
2011,Unprovoked,BAHAMAS,Grand Bahama Island,Scuba diving,N,,,
2011,Unprovoked,USA,Texas,Swimming,N,,,
2011,Unprovoked,USA,Texas,Wade Fishing,N,,,
2011,Unprovoked,REUNION,Saint-Gilles,Surfing,N,,,
2011,Unprovoked,COLUMBIA,Sucre,Kayaking,N,,,
2011,Unprovoked,TURKS & CAICOS,Middle Caicos,Snorkeling,N,,,
2011,Unprovoked,BRAZIL,Pernambuco,Surfing,N,,,
2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,N,"Bull shark, 3m female",,
2011,Unprovoked,USA,North Carolina,Playing in the surf,N,"Bull shark, 6'",,
2011,Unprovoked,USA,California,Surfing,N,"White shark, 5' k",,
2011,Unprovoked,USA,Florida,Jet skiing,N,,,
2011,Unprovoked,TURKS & CAICOS,Caicos Bank,Spearfishing,N,5' shark,,
2011,Unprovoked,COSTA RICA,Guanacaste,Surfing,Y,,,
2011,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boogie Boarding,Y,,,
2011,Boating,UNITED KINGDOM,Cornwall,Fishing,N,"Oceanic whitetip shark, 7'",,
2011,Unprovoked,USA,Florida,Scuba diving,N,"Blacktip shark, 4'",,
2011,Unprovoked,COLUMBIA,San Andrés archipelago,Spearfishing,N,,,
2011,Unprovoked,USA,California,Spearfishing,N,"Sevengill shark, 6' to 8'",,
2011,Unprovoked,USA,Florida,Wading,N,3' to 4' shark,,
2011,Unprovoked,MALAYSIA,Kedah,Snorkeling,N,Blacktip reef shark,,
2011,Unprovoked,USA,Texas,Standing or boogie boardin,N,,,
2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,White shark,,
2011,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 10'",,
2011,Unprovoked,USA,Hawaii,Paddle boarding,N,Tiger shark,,
2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,Y,Zambesi shark,,
2011,Unprovoked,USA,Florida,Body surfing,N,,,
2011,Unprovoked,NEW CALEDONIA,North Province,Kite Boarding,Y,"Tiger shark, 2.8m",,
2011,Unprovoked,USA,Florida,Surfing,N,,,
2011,Provoked,USA,Florida,Fishing,N,"Sandbar shark, 8'",,
2011,Invalid,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province,Fishing,,Invalid,,
2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,N,,,
2011,Unprovoked,USA,Florida,Spearfishing,N,"Bull shark, 12'",,
2011,Unprovoked,AUSTRALIA,Western Australia,Washing sand off a speared fish,N,"reef shark, 1.5m",,
2011,Unprovoked,USA,Florida,Surfing,N,1' to 2' shark,,
2011,Unprovoked,NEW ZEALAND,South Island,Surfing,N,possibly a bronze whaler shark,,
2011,Unprovoked,INDONESIA,Bali,Surfing,N,"Bull shark, 2.5 m",,
2011,Unprovoked,FIJI,Vitu Levu,Diving,N,,,
2011,Provoked,USA,Texas,"Standing, holding shark pup",N,Blacktip shark pup,,
2011,Unprovoked,MEXICO,Quintana Roo,Swimming,N,Bull shark,,
2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Bull shark, 2.5m",,
2011,Unprovoked,MEXICO,Quintana Roo,Swimming,N,,,
2011,Unprovoked,FIJI,,Diving / fishing,N,,,
2011,Unprovoked,AUSTRALIA,New South Wales,Wakeboarding,N,3 m to 4 m shark,,
2011,Invalid,EGYPT,South Sinai Peninsula,,,,,
2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2011,Provoked,AUSTRALIA,Queensland,Fishing,N,"Bull shark, 2m",,
2011,Unprovoked,NEW CALEDONIA,Loyalty Islands,Spearfishing,N,1.5 m shark,,
2011,Unprovoked,REUNION,Saint Gilles,Surfing,N,,,
2011,Unprovoked,AUSTRALIA,South Australia,Diving for abalone,Y,White shark x 2,,
2011,Provoked,AUSTRALIA,Queensland,Fishing,N,1 m shark,,
2011,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,,,
2011,Provoked,MEXICO,Colima,Shark fishing on the Ricardo Astorga,N,,,
2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surf fishing,N,,,
2011,Unprovoked,MEXICO,Quintana Roo,Swimming,N,6' shark,,
2011,Provoked,MEXICO,Colima,Shark fishing on the Don Agustín-VI.,N,,,
2011,Unprovoked,BAHAMAS,West End,Scuba diving,N,Caribbean reef shark,,
2011,Invalid,AUSTRALIA,New South Wales,Swimming,,Shark involvement not confirmed,,
2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Y,,,
2011,Unprovoked,MEXICO,Quintana Roo,Attempting to fix motor,N,,,
2011,Boat,AUSTRALIA,Western Australia,Fishing,N,White shark,,
2010,Unprovoked,USA,Hawaii,Body boarding,N,6' shark,,
2010,Unprovoked,FIJI,Vitu Levu,Surfing,N,,,
2010,Unprovoked,USA,Hawaii,Surfing,N,,,
2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,Y,"Oceanic whitetip shark, 2.5m",,
2010,Unprovoked,INDONESIA,Bali,Surfing,N,,,
2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,Mako shark,,
2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,Mako shark,,
2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,"Oceanic whitetip shark, 2.5m, female",,
2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,"Oceanic whitetip shark, 2.5m, female",,
2010,Unprovoked,SAMOA,,Fishing,N,,,
2010,Invalid,AUSTRALIA,Western Australia,Swimming,,Shark involvement not confirmed,,
2010,Provoked,USA,Palmyra Atoll,Snorkeling,N,,,
2010,Unprovoked,DOMINICAN REPUBLIC,,Diving,Y,,,
2010,Unprovoked,INDONESIA,Bali,Surfing,N,,,
2010,Boat,AUSTRALIA,Western Australia,Fishing,N,White shark,,
2010,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,White shark,,
2010,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,N,,,
2010,Unprovoked,USA,Oregon,Surfing,N,,,
2010,Provoked,AZORES,,Fishing,N,,,
2010,Unprovoked,USA,Maine,Scuba diving,N,"Porbeagle shark, 8'",,
2010,Unprovoked,AUSTRALIA,Western Australia,Kite Surfing,N,,,
2010,Unprovoked,USA,California,Body boarding,Y,"White shark, 14' to 18'",,
2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,,,
2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Bull shark, 1.4m",,
2010,Unprovoked,BAHAMAS,Exuma Islands,Snorkeling,N,Lemon shark,,
2010,Unprovoked,BAHAMAS,Abaco Islands,Surfing,N,Possibly a 6' lemon shark,,
2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,,,
2010,Unprovoked,USA,Oregon,Surfing,N,White shark,,
2010,Unprovoked,USA,Virginia,Surfing,N,,,
2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,Y,White shark,,
2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2m shark,,
2010,Unprovoked,USA,Florida,Swimming,N,3' shark,,
2010,Unprovoked,TONGA,Ha'api,Swimming / Whale Watching,N,,,
2010,Unprovoked,USA,Florida,Surfing,N,,,
2010,Unprovoked,USA,Florida,Surfing,N,,,
2010,Unprovoked,USA,Florida,Surfing,N,,,
2010,Unprovoked,SOLOMON ISLANDS,Western Province,,N,,,
2010,Invalid,BAHAMAS,Exuma Islands,Swimming after boat became disabled,,Shark involvement prior to death was not confirmed,,
2010,Unprovoked,USA,Florida,Boogie Boarding,N,,,
2010,Unprovoked,AUSTRALIA,Western Australia,Surfing,Y,White shark,,
2010,Boating,USA,California,Kayak Fishing,N,White shark,,
2010,Provoked,AUSTRALIA,Queensland,Fishing,N,,,
2010,Unprovoked,SOUTH KOREA,Jeju Province,Swimming,N,,,
2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2010,Unprovoked,USA,North Carolina,Surfing,N,,,
2010,Unprovoked,MALTA,,Windsurfing,N,3 m shark,,
2010,Invalid,USA,Florida,Swimming,,Shark involvement not confirmed,,
2010,Boating,USA,California,Kayaking,N,"White shark, 15'",,
2010,Unprovoked,USA,Florida,Standing,N,3' to 4' shark,,
2010,Unprovoked,USA,South Carolina,Standing,N,4' shark,,
2010,Unprovoked,USA,Florida,Surfing,N,,,
2010,Unprovoked,USA,South Carolina,Swimming,N,Possibly a small blacktip shark,,
2010,Unprovoked,USA,North Carolina,Swimming,N,"Sandtiger shark, 4' to 5'",,
2010,Unprovoked,USA,Florida,Surfing,N,A small spinner shark,,
2010,Provoked,SPAIN,Grand Canary Island,Swimming,N,Angel shark,,
2010,Unprovoked,USA,Texas,Fishing,N,,,
2010,Provoked,USA,Florida,Fishing,N,"Nurse shark, juvenile",,
2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Snorkeling,N,,,
2010,Provoked,USA,New York,Fishing,N,"Blue shark, 7'",,
2010,Unprovoked,USA,California,Surfing,N,4' shark,,
2010,Unprovoked,USA,California,Stand-Up Paddleboarding,N,8' shark,,
2010,Unprovoked,USA,Texas,Surfing,N,"Bull shark, 5'",,
2010,Unprovoked,USA,South Carolina,Boogie Boarding,N,,,
2010,Unprovoked,USA,North Carolina,Swimming,N,,,
2010,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,N,1 m shark,,
2010,Unprovoked,USA,Florida,Boogie Boarding,N,4' shark,,
2010,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,,
2010,Unprovoked,USA,Florida,Surfing,N,,,
2010,Provoked,USA,Florida,Fishing,N,"Lemon shark, 4'",,
2010,Unprovoked,VIETNAM,Binh Dinh Province,Rescuing,N,20 to 30kg shark,,
2010,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,N,20 to 30kg shark,,
2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2010,Unprovoked,MADAGASCAR,Antsiranana Province,Scuba diving,N,,,
2010,Unprovoked,USA,Florida,Wading,N,4' shark,,
2010,Provoked,USA,Florida,Measuring sharks,N,"Lemon shark, 6'",,
2010,Unprovoked,USA,Hawaii,Surfing,N,14' shark,,
2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,2 m shark,,
2010,Unprovoked,EGYPT,Sinai Peninsula,Swimming / treading water,N,"Oceanic whitetip shark, 6'",,
2010,Unprovoked,REUNION,Saint-Benoit,Surfing,N,1.5 m shark,,
2010,Unprovoked,NEW ZEALAND,South Island,Swimming,N,Possibly a blue shark,,
2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,3 m shark,,
2010,Unprovoked,FIJI,Off Vanua Levu,Scuba diving,Y,,,
2010,Unprovoked,AUSTRALIA,Queensland,Snorkeling,N,2 m shark,,
2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Wobbegong shark, 1.6m",,
2010,Provoked,NEW ZEALAND,South Island,Spearfishing,N,2 m to 3 m shark,,
2010,Unprovoked,AUSTRALIA,New South Wales,Body boarding,N,"White shark, 2.5m",,
2010,Provoked,USA,Florida,Surf fishing / wading,N,"Spinner shark, 6'",,
2010,Invalid,GUAM,Merizo,Spearfishing (free diving),,Invalid,,
2010,Unprovoked,USA,Florida,Kite Boarding,Y,,,
2010,Provoked,NEW ZEALAND,South Island,Boogie Boarding,N,1.5 m shark,,
2010,Unprovoked,BRAZIL,Rio Grande Do Sul,Surfing,N,Thought to involve a juvenile hammerhead shark,,
2010,Unprovoked,AUSTRALIA,Queensland,Surfing,N,,,
2010,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,Surfing,N,,,
2010,Unprovoked,AUSTRALIA,Victoria,Surfing,N,,,
2010,Unprovoked,SOUTH AFRICA,Western Province,Standing,Y,White shark,,
2010,Unprovoked,AUSTRALIA,Torres Strait,Snorkeling,N,"Whitetip reef shark, 1m",,
2010,Unprovoked,VIETNAM,Binh Dinh Province,,N,,,
2010,Unprovoked,VIETNAM,Binh Dinh Province,,N,,,
2010,Unprovoked,VIETNAM,Binh Dinh Province,Bathing,N,,,
2010,Unprovoked,USA,Florida,Spearfishing,N,,,
2010,Unprovoked,SOUTH AFRICA,Eastern Province,Surfing,N,,,
2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Wading,N,,,
2009,Provoked,AUSTRALIA,New South Wales,Swimming,N,,,
2009,Unprovoked,MOZAMBIQUE,Maputo Province,Swimming,N,"Zambesi shark, 2m",,
2009,Boating,AUSTRALIA,Queensland,Kayaking,N,,,
2009,Unprovoked,AUSTRALIA,Queensland,Spearfishing,N,"Bull shark, 3m",,
2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddling on kneeboard,Y,,,
2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,Surfing,,No shark involvement,,
2009,Unprovoked,NEW ZEALAND,South Island,Swimming to shore from capsized kayak,Y,"White shark, 2.8 to 3 m",,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2009,Boating,AUSTRALIA,New South Wales,Rowing,N,White shark,,
2009,Provoked,USA,New Jersey,Diving,N,"Sandtiger shark, 8'",,
2009,Invalid,USA,California,Surfing,,Shark involvement not confirmed,,
2009,Unprovoked,USA,Florida,Wading,N,6' shark,,
2009,Unprovoked,USA,California,Fishing,N,Thresher shark,,
2009,Unprovoked,USA,Florida,Surfing,N,,,
2009,Unprovoked,USA,Florida,Surfing,N,,,
2009,Unprovoked,USA,Florida,Surfing,N,4' shark,,
2009,Unprovoked,AUSTRALIA,South Australia,Kayaking,N,2 m shark,,
2009,Unprovoked,USA,California,Surfing,N,,,
2009,Boating,AUSTRALIA,Victoria,Kayaking,N,"White shark, 4m",,
2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,N,Zambesi shark,,
2009,Unprovoked,AUSTRALIA,New South Wales,Paddle-boarding,N,,,
2009,Unprovoked,USA,California,Surfing,N,,,
2009,Unprovoked,USA,Hawaii,Surfing,N,6' to 8' shark,,
2009,Unprovoked,PANAMA,Bocas,Wading,N,,,
2009,Provoked,SCOTLAND,Fife,Diving,N,Angel shark,,
2009,Unprovoked,AUSTRALIA,Western Australia,Diving,N,"Bull shark, 10'",,
2009,Unprovoked,USA,California,Surfing,N,,,
2009,Provoked,UNITED KINGDOM,Devon,Fishing,N,Spurdog,,
2009,Unprovoked,USA,Florida,Swimming,N,"Bull shark, 8'",,
2009,Unprovoked,VIETNAM,,,N,,,
2009,Provoked,SOMALIA,,Fishing,N,,,
2009,Provoked,BRAZIL,Pernambuco,,Y,,,
2009,Invalid,USA,North Carolina,Swimming,Y,Shark involvement prior to death not confirmed,,
2009,Unprovoked,BRAZIL,Pernambuco,"Swimming, attempting to rescue a girl believed to be drowning",Y,,,
2009,Invalid,NEVIS,,Swimming,,Invalid,,
2009,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,Fishing,N,,,
2009,Unprovoked,USA,California,Surfing,N,4' shark,,
2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Y,White shark,,
2009,Unprovoked,USA,California,Swimming,N,"White shark, 5' to 6' juvenile",,
2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,N,"White shark, 2m",,
2009,Unprovoked,USA,Florida,Swimming,N,,,
2009,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 12",,
2009,Unprovoked,USA,Louisiana,Wade Fishing,N,Bull shark?,,
2009,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,N,Bull shark,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2009,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,N,,,
2009,Unprovoked,KENYA,Mombasa,Washing his feet,Y,,,
2009,Unprovoked,USA,Texas,Wading,N,,,
2009,Invalid,SPAIN,Catalunya,Swimming,,Shark involvement questionable,,
2009,Unprovoked,USA,North Carolina,Swimming,N,,,
2009,Unprovoked,USA,Florida,Swimming,N,,,
2009,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,N,,,
2009,Provoked,BAHAMAS,,Spearfishing,N,"Caribbean reef shark, 6'",,
2009,Unprovoked,USA,California,Paddle-surfing,N,5' shark,,
2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,,,
2009,Unprovoked,USA,Florida,Boogie Boarding,N,,,
2009,Provoked,USA,Florida,Swimming,N,"Nurse shark, 6'",,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Thought to involve a Bronze whale shark, 2m",,
2009,Invalid,USA,California,Surfing,,Shark involvement not confirmed,,
2009,Invalid,USA,Florida,Crawling,,"Shark involvement probable, but not confirmed",,
2009,Provoked,VIETNAM,,Fishing for sharks,N,White shark,,
2009,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,N,Oceanic whitetip shark,,
2009,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,N,Oceanic whitetip shark,,
2009,Unprovoked,EGYPT,St. Johns Reef,Snorkeling,Y,"Oceanic whitetip shark, 2.5 to 3m",,
2009,Provoked,TAIWAN,Off Green Island,Fishing,N,80 kg shark,,
2009,Provoked,USA,Florida,Swimming,N,5' to 8' shark,,
2009,Unprovoked,USA,Florida,Surfing,N,blacktip or spinner shark,,
2009,Unprovoked,USA,Florida,Surfing,N,blacktip or spinner shark,,
2009,Unprovoked,USA,Florida,Surfing,N,blacktip or spinner shark,,
2009,Provoked,GUAM,North Region,Spearfishing,N,"Blacktip shark, 4'",,
2009,Provoked,BAHAMAS,Exuma Islands,Spearfishing,N,7' shark,,
2009,Unprovoked,USA,Florida,,N,,,
2009,Unprovoked,USA,California,Surfing,N,,,
2009,Unprovoked,USA,Florida,Surfing,N,,,
2009,Unprovoked,PHILIPPINES,Batangas province,Swimming,N,,,
2009,Unprovoked,USA,Florida,Surfing,N,,,
2009,Unprovoked,USA,Florida,Surfing,N,2' to 3' shark,,
2009,Invalid,USA,Hawaii,Spearfishing,,Shark involvement not confirmed,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surf skiing,N,2' to 3' shark,,
2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,,Shark involvement not confirmed,,
2009,Unprovoked,USA,California,Spearfishing,N,"White shark, 12' to 15' female",,
2009,Unprovoked,USA,Florida,Wading,N,,,
2009,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,N,Raggedtooth shark,,
2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Y,,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,Bronze whaler shark?,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2009,Unprovoked,USA,Florida,Surfing,N,3' to 4' shark,,
2009,Unprovoked,MALAYSIA,Strait of Malacca,Feeding fish,N,Blacktip reef shark pup,,
2009,Unprovoked,USA,Hawaii,Swimming,N,Thought to involve a cookie cutter shark,,
2009,Provoked,AUSTRALIA,Western Australia,Wading,N,"Wobbegong shark, 60cm",,
2009,Unprovoked,NEW CALEDONIA,South Province,Surfing,Y,,,
2009,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,N,"Blue shark, 1m",,
2009,Boatomg,NEW ZEALAND,North Island,Fishing,N,,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2.6 m shark,,
2009,Unprovoked,AUSTRALIA,Queensland,Fishing,N,,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 2.5m",,
2009,Unprovoked,AUSTRALIA,New South Wales,"Diving, but on the surface when bitten by the shark",N,"Bull shark, 2.7 m",,
2009,Sea Disaster,USA,Puerto Rico,Air Disaster,Y,,,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 12'",,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2009,Provoked,AZORES,,Fishing,N,,,
2009,Invalid,BRAZIL,,,,Shark involvement prior to death was not confirmed,,
2009,Unprovoked,CUBA,Guantanamo Province,Spearfishing,N,Bull shark,,
2009,Boat,NEW ZEALAND,North Island,Fishing,N,,,
2009,Unprovoked,AUSTRALIA,New South Wales,Swimming,N,,,
2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,Y,Tiger shark,,
2009,Invalid,BRAZIL,Maranhão,Swimming,,Invalid,,
2009,Boat,AUSTRALIA,Victoria,Fishing,N,"White shark, 5.5 m",,
2009,Unprovoked,NEW ZEALAND,South Island,Surfing,N,,,
2009,Unprovoked,SOUTH AFRICA,Western Cape Province,,Y,White sharks,,
2009,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,N,"Dusky shark, 2m",,
2009,Unprovoked,AUSTRALIA,Tasmania,Surfing,N,"White shark, 5m",,
2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 3.5m",,
2009,Boat,NEW ZEALAND,North Island,Fishing,N,"Mako shark, 3m",,
2009,Unprovoked,ECUADOR,Galapagos Islands,Surfing,N,,,
2009,Unprovoked,NEW ZEALAND,North Island,Swimming,N,Broadnose sevengill shark,,
2009,Unprovoked,CUBA,Guantanamo Province,Spearfishing,N,Bull shark,,
2008,Invalid,AUSTRALIA,Western Australia,Crabbing,,No shark involvement,,
2008,Boating,AUSTRALIA,Tasmania,Yacht race,N,2 m shark,,
2008,Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,N,,,
2008,Boating,AUSTRALIA,New South Wales,Kayaking,N,"White shark, 4m to 5m",,
2008,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,Y,4 to 5m white shark,,
2008,Boating,USA,California,Kayaking,N,White shark,,
2008,Unprovoked,NEW ZEALAND,North Island,Fishing,N,Bronze whaler shark?,,
2008,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,N,"Raggedtooth shark, 2m",,
2008,Boating,AUSTRALIA,New South Wales,Fishing,N,"White shark, 4.5 to 5 m",,
2008,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,Y,Zambesi shark?,,
2008,Unprovoked,EGYPT,Red Sea,Scuba diving,N,Oceanic whitetip shark,,
2008,Sea Disaster,PHILIPPINES,Batanes Provine,Sinking of the cargo ship Mark Jason,N,,,
2008,Unprovoked,ECUADOR,Galapagos Islands,,N,,,
2008,Boating,AUSTRALIA,South Australia,Fishing,N,Bronze whaler shark,,
2008,Sea Disaster,TAIWAN,,Fishing boat swamped in storm,Y,,,
2008,Unprovoked,PHILIPPINES,Luzon,Fishing,Y,,,
2008,Provoked,AUSTRALIA,New South Wales,Scuba diving,N,"Grey nurse shark, 3m",,
2008,Unprovoked,NEW CALEDONIA,,Spearfishing,N,Lemon shark,,
2008,Provoked,AUSTRALIA,Northern Territory,Fishing,N,"reef shark, 1.8m",,
2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2008,Unprovoked,USA,Florida,Fishing,N,,,
2008,Unprovoked,CROATIA,"Split-Dalmatia Count,",Spearfishing,N,5 m white shark,,
2008,Unprovoked,USA,Florida,Surfing,N,,,
2008,Unprovoked,USA,Florida,Surfing,N,=+3' shark,,
2008,Provoked,AUSTRALIA,Northern Territory,Swimming,N,Bronze whaler shark,,
2008,Unprovoked,USA,Florida,Swimming,N,2' to 3' juvenile shark,,
2008,Unprovoked,USA,Hawaii,Surfing,N,Tiger shark,,
2008,Unprovoked,USA,California,Surfing,N,"White shark, 14' to 16'",,
2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,3 m shark,,
2008,Unprovoked,USA,Florida,Surfing,N,,,
2008,Unprovoked,USA,Florida,Surfing,N,,,
2008,Unprovoked,USA,Florida,Surfing,N,4' shark,,
2008,Unprovoked,USA,Florida,Surfing,N,,,
2008,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,,
2008,Invalid,USA,Hawaii,Swimming,,Shark involvement not confirmed,,
2008,Provoked,ENGLAND,North Devon,Fishing,N,Blue shark,,
2008,Unprovoked,USA,Florida,Surfing,N,,,
2008,Unprovoked,USA,Florida,Surfing,N,6' shark,,
2008,Unprovoked,USA,Florida,"Swimming, towing surfboard",N,,,
2008,Invalid,USA,North Carolina,Surfing,,Shark involvement not confirmed,,
2008,Unprovoked,USA,Florida,Swimming,N,,,
2008,Invalid,USA,South Carolina,,,Shark involvement not confirmed,,
2008,Unprovoked,USA,US Virgin Islands,Treading water,N,8' bull shark or Caribbean reef shark,,
2008,Unprovoked,USA,Florida,Wading,N,,,
2008,Unprovoked,USA,Hawaii,Diving,N,"Tiger shark, 12'",,
2008,Unprovoked,AUSTRALIA,Victoria,Surfing,N,8' white shark or 7-gill shark,,
2008,Unprovoked,SOUTH AFRICA,,,N,White shark,,
2008,Unprovoked,PANAMA,San Carlos,Swimming or surfing,N,3' shark,,
2008,Unprovoked,MEXICO,Cabo San Lucas,Swimming,N,2' shark,,
2008,Unprovoked,USA,Hawaii,Swimming,N,2' to 3' reef shark,,
2008,Unprovoked,USA,Florida,Surfing,N,,,
2008,Unprovoked,USA,Hawaii,Snorkeling,N,,,
2008,Unprovoked,USA,North Carolina,Wading,N,3' shark,,
2008,Unprovoked,USA,North Carolina,Wading,N,3' to 4' shark,,
2008,Provoked,USA,Florida,Surfing,N,,,
2008,Unprovoked,USA,Florida,Wading,N,4' shark,,
2008,Unprovoked,EGYPT,,Diving,N,Oceanic whitetip shark,,
2008,Invalid,USA,North Carolina,Body surfing,,Shark involvement not confirmed,,
2008,Unprovoked,USA,South Carolina,Surfing,N,,,
2008,Unprovoked,USA,North Carolina,Swimming,N,,,
2008,Unprovoked,USA,South Carolina,,N,,,
